Datetime,Tweet Id,Link,Text,Username,Total replycount,Total retweetcount,Source,Total likecount
2022-05-14 23:13:55+00:00,1525615420278833152,https://twitter.com/jack/status/1525615420278833152,"@elonmusk it was designed simply to save you time when you are away from app for a while. 

pull to refresh goes back to reverse chron as well.",jack,1697,1245,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",24691
2022-05-14 17:34:04+00:00,1525529892699373568,https://twitter.com/jack/status/1525529892699373568,@alexstamos @goldman you're making a number of assumptions. ask her directly what I have and have not done.,jack,5,7,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",68
2022-05-14 17:23:06+00:00,1525527136735580161,https://twitter.com/jack/status/1525527136735580161,"@alexstamos @goldman always with the people on the service and the service, as is the loyalty of everyone in the company.",jack,6,5,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",39
2022-05-14 17:22:04+00:00,1525526872653713409,https://twitter.com/jack/status/1525526872653713409,"@alexstamos @goldman not true. decisions have been called out as they should be. and the people behind them, myself included, would say the same. despite that, a for-profit company should not be making these decisions.",jack,5,9,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",57
2022-05-14 17:03:24+00:00,1525522178438856704,https://twitter.com/jack/status/1525522178438856704,"@goldman tell me, what part of this do you take issue with?: ""*it’s also crazy and wrong that individuals or companies bear this responsibility."" did not take away from me owning the decision. or is this just for the jokes?",jack,4,6,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",40
2022-05-14 10:16:34+00:00,1525419792357806080,https://twitter.com/jack/status/1525419792357806080,@goldman creative interpretation,jack,12,5,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",57
2022-05-13 18:16:47+00:00,1525178255724118022,https://twitter.com/jack/status/1525178255724118022,@DaveLeeFT @mcwm no. open protocol not controlled by a company or gov't,jack,8,8,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",74
2022-05-13 17:20:09+00:00,1525164002904576000,https://twitter.com/jack/status/1525164002904576000,@uselessthinking @tomphilpott that's more about dollar decline than anything else...,jack,10,12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",278
2022-05-13 17:18:50+00:00,1525163674691899397,https://twitter.com/jack/status/1525163674691899397,@ArgenTo46 @tomphilpott 💯,jack,4,6,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",37
2022-05-13 17:06:55+00:00,1525160672354611204,https://twitter.com/jack/status/1525160672354611204,@tomjmaxwell @tomphilpott this,jack,9,11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",176
2022-05-13 17:06:11+00:00,1525160488438472704,https://twitter.com/jack/status/1525160488438472704,"@tomphilpott yes I do. it's young and forming. you buy in because you believe it frees people, not to day trade.",jack,61,284,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2491
2022-05-13 16:45:56+00:00,1525155394418532352,https://twitter.com/jack/status/1525155394418532352,@tomphilpott I don't watch the price. I know it will always gain in value over the long term as more people are able to use it.,jack,199,584,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",6171
2022-05-13 16:39:30+00:00,1525153775824121857,https://twitter.com/jack/status/1525153775824121857,so happy we get the opportunity to support king @kendricklamar @babykeem and @TannaLeone! love to @pglang!,jack,135,204,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1853
2022-05-12 19:55:21+00:00,1524840671990927365,https://twitter.com/jack/status/1524840671990927365,@davidmarcus @lightspark 💯,jack,22,19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",738
2022-05-12 19:21:45+00:00,1524832217855315990,https://twitter.com/jack/status/1524832217855315990,21h21,jack,992,475,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",5939
2022-05-12 17:02:03+00:00,1524797059789950978,https://twitter.com/jack/status/1524797059789950978,go 🇬🇭,jack,370,4175,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",23595
2022-05-12 16:58:20+00:00,1524796125273899008,https://twitter.com/jack/status/1524796125273899008,@Connexinet @neilkatz @DavidClinchNews @elonmusk agree,jack,3,4,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",23
2022-05-12 10:22:05+00:00,1524696405150945280,https://twitter.com/jack/status/1524696405150945280,@AJ @elonmusk should be sticky. Is for me on web.,jack,22,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",69
2022-05-12 00:57:30+00:00,1524554323828613120,https://twitter.com/jack/status/1524554323828613120,"@MikeIsaac @DavidClinchNews @elonmusk @getvicarious is helpful here. Lists are magic, especially when they can include searches and filters. Tweetdeck is a good metaphor for what they should be",jack,43,11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",135
2022-05-12 00:55:31+00:00,1524553824228323328,https://twitter.com/jack/status/1524553824228323328,@iBruno @elonmusk Lost?,jack,24,4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",81
2022-05-12 00:54:30+00:00,1524553570149875713,https://twitter.com/jack/status/1524553570149875713,@DavidClinchNews @elonmusk agree I love lists and follow topics. Lists are a bit hard to set up and find tho currently and topics the same. Still believe they unlock twitter the best,jack,69,40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",779
2022-05-12 00:44:12+00:00,1524550978674040833,https://twitter.com/jack/status/1524550978674040833,"@elonmusk this is the way

though the algorithm is good at surfacing stuff you'd otherwise miss by not scrolling. reverse chron best for live and breaking events. having choice is the most important. ideally being able to choose what algo you want to use...",jack,981,1229,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",27415
2022-05-12 00:27:13+00:00,1524546703998787584,https://twitter.com/jack/status/1524546703998787584,@maxkeiser my bad,jack,66,31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1190
2022-05-12 00:21:58+00:00,1524545381136310273,https://twitter.com/jack/status/1524545381136310273,"@kalebbrums @Leishman call me, maybe?",jack,29,18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",393
2022-05-12 00:05:42+00:00,1524541290217627648,https://twitter.com/jack/status/1524541290217627648,@CryptoWhale @Leishman much to do about nothing,jack,22,13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",248
2022-05-12 00:01:31+00:00,1524540237011161090,https://twitter.com/jack/status/1524540237011161090,@Leishman nah it's a casino,jack,167,176,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2932
2022-05-12 00:00:22+00:00,1524539946903744516,https://twitter.com/jack/status/1524539946903744516,@BearBullTraders no. there are bugs.,jack,6,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",73
2022-05-11 23:01:38+00:00,1524525167883468801,https://twitter.com/jack/status/1524525167883468801,damn.,jack,164,256,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2793
2022-05-11 22:51:53+00:00,1524522710243680256,https://twitter.com/jack/status/1524522710243680256,@NunoMai76394153 @KurtWagner8 ever,jack,15,7,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",107
2022-05-11 22:51:41+00:00,1524522662516645888,https://twitter.com/jack/status/1524522662516645888,@thrice_greatest failed the test,jack,23,8,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",149
2022-05-11 22:48:40+00:00,1524521901317849088,https://twitter.com/jack/status/1524521901317849088,@JonathanSchremp @KurtWagner8 advertisers,jack,7,7,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",191
2022-05-11 22:45:24+00:00,1524521080412590082,https://twitter.com/jack/status/1524521080412590082,@KurtWagner8 they pay you to do this,jack,50,22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",726
2022-05-11 22:42:40+00:00,1524520392659849216,https://twitter.com/jack/status/1524520392659849216,@FringeAway @CharlesWieand @elonmusk taken,jack,13,4,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",141
2022-05-11 22:05:01+00:00,1524510917106483200,https://twitter.com/jack/status/1524510917106483200,@KurtWagner8 thank you google translate,jack,245,291,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",4768
2022-05-11 22:04:24+00:00,1524510762579988483,https://twitter.com/jack/status/1524510762579988483,@HappyWarriorP @ComfortablySmug @CharlesWieand @elonmusk nah. it's time to roll the dice again.,jack,38,25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",425
2022-05-11 22:03:22+00:00,1524510501925011459,https://twitter.com/jack/status/1524510501925011459,@markmilian @CharlesWieand @elonmusk tempting,jack,17,18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",894
2022-05-11 21:58:22+00:00,1524509242840997888,https://twitter.com/jack/status/1524509242840997888,@stalbs @CharlesWieand @elonmusk no one ultimately,jack,102,48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",874
2022-05-11 18:31:47+00:00,1524457257202855936,https://twitter.com/jack/status/1524457257202855936,@BradyDale karma's a b,jack,14,12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",256
2022-05-11 18:19:46+00:00,1524454233608704002,https://twitter.com/jack/status/1524454233608704002,we’ll try to do it another time then,jack,161,58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1147
2022-05-11 18:15:28+00:00,1524453149460815873,https://twitter.com/jack/status/1524453149460815873,Can’t seem to load or join the space I’m supposed to host now…blank https://t.co/AWpVmPE2VZ,jack,351,188,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2072
2022-05-11 13:04:57+00:00,1524375006322462720,https://twitter.com/jack/status/1524375006322462720,@cz_binance ?,jack,145,60,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1162
